title,genre,rating,published date,volume,author,description
Tokyo Ghoul,"Action, Drama, Horror, Fantasy, Psychological, Tragedy, Supernatural",5,2012,14,Ishida Sui,"Strange murders are happening in Tokyo. Due to liquid evidence at the scene, the police conclude the attacks are the results of 'eater' type ghouls. College buddies Kaneki and Hide come up with the idea that ghouls are imitating humans so that's why they haven't ever seen one. Little did they know that their theory may very well become reality."
Girls of The Wild's,"Action, Comedy, Drama, Harem, Martial Arts, Romance,",2,2011,1,Hun,"Wild's High has a 42-year history as a fighting specialized, girls only, private high school meant solely for the elite. It is also the place that Wild's-League is held: the most popular event in the country and the only place in the world where teenage girls have brutal fights with their lives on the line."
Naruto,"Animation,Action,Adventure,Comedy,Fantasy,Thriller",5,1999,72,Masashi Kishimoto,"Naruto (ナルト?) is a Japanese manga series written and illustrated by Masashi Kishimoto. It tells the story of Naruto Uzumaki, an adolescent ninja who constantly searches for recognition and dreams to become the Hokage, the ninja in his village who is acknowledged as the leader and the strongest of all. The series is based on a one-shot manga by Kishimoto that was published in the August 1997 issue of Akamaru Jump."
Bleach,"Action,Adventure,Comedy,Drama",4,2001,68,Kubo Tite,"Ichigo Kurosaki has always been able to see ghosts, but this ability doesn't change his life nearly as much as his close encounter with Rukia Kuchiki, a Soul Reaper and member of the mysterious Soul Society. While fighting a Hollow, an evil spirit that preys on humans who display psychic energy, Rukia attempts to lend Ichigo some of her powers so that he can save his family; but much to her surprise, Ichigo absorbs every last drop of her energy. Now a full-fledged Soul Reaper himself, Ichigo quickly learns that the world he inhabits is one full of dangerous spirits, and along with Rukia--who is slowly regaining her powers--it's Ichigo's job to protect the innocent from Hollows and help the spirits themselves find peace."
Noblesse,"Action, Comedy, Drama, Mystery, School Life, ",5,2010,7,Son Jae-ho,"He awakens. For 820 years he has slumbered with no knowledge of mankind's advancements and scientific achievments. The land which he once knew has become an unfamiliar place with new technologies, attitudes, and lifestyles. Cadis Etrama Di Raizel, Rai, while seeking to familiarize himself with this era, somehow locates a loyal servant of his, Frankenstein, who is currently the principal of a South Korean high school. Rai decides that this high school would be the perfect place to help him learn about the new world. He enrolls, and suddenly becomes the friend of Shinwoo, an immature teenager who is also a master martial artist. But this new world is no safer than the old, and the dignified, bewildered, technologically illiterate Rai finds himself caught up in adventures both hilarious and dangerous."
The God of High School,"Action, Adventure, Comedy, Martial Arts, Shounen, Supernatural",4,2011,4,Park Yong-Je,"While an island half-disappearing from the face of the earth, a mysterious organization is sending out invitations for a tournament to every skilled fighter in the world. “If you win you can have ANYTHING you want” They’re recruiting only the best to fight the best and claim the title of The God of high school!"
Shokugeki no Souma,"Comedy, Ecchi, School, Shounen",4,2012,14,Tsukada Yuuto,"Yukihira Souma's dream is to become a full-time chef in his father's restaurant and surpass his father's culinary skill. But just as Yukihira graduates from middle schools his father, Yukihira Jouichirou, closes down the restaurant to cook in Europe. Although downtrodden, Souma's fighting spirit is rekindled by a challenge from Jouichirou which is to survive in an elite culinary school where only 10% of the students graduate. Can Souma survive?"
Emma,"Drama, Historical, Romance",4,2007,10,Kaoru Mori,"In Victorian-era England, a young girl is rescued from a life of destitution and raised to become a proper British maid. Emma meets William, the eldest son of a wealthy family, and immediately falls in love with him. William shares her feelings, but the strict rules of their society prevent their relationship from ever coming out in the open. Traditional class distinctions and rich, historical details provide the backdrop for this appealing romance."
